"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
525.12,-2.6,-2.4,-2.5,-2.7
526.08,-2.6,-2.9,-3.1,-3
527.04,-2.2,-2.3,-2.1,-2.6
528,-2.8,-2.3,-2.1,-2.5
528.96,-2.3,-2.2,-2.3,-2.6
529.92,-2.6,-2.2,-2.1,-2.7
530.88,-2.5,-2.4,-2.1,-2.4
531.84,-2.6,-2.7,-2.4,-2.7
532.8,-2.2,-2,-2.2,-2.5
533.76,-1.8,-1.8,-1.7,-2
534.72,-2.9,-2,-1.9,-2.6
535.68,-2,-2,-1.9,-2.2
536.64,-2.2,-2.3,-2.3,-2.5
537.6,-2.5,-2.3,-2.4,-2.5
538.56,-2.2,-1.8,-1.8,-2.4
539.52,-2.4,-2.5,-3,-2.8
540.48,-2.3,-2,-1.9,-2.4
541.44,-2.5,-2.3,-1.9,-2.5
542.4,-2.6,-2.3,-1.8,-2.4
543.36,-2.3,-2.1,-2.7,-2.8
544.32,-2.3,-1.9,-2,-2.2
545.28,-2.6,-2.3,-2,-2.6
546.24,-2.3,-2.3,-2.5,-2.6
547.2,-1.9,-2.2,-2.1,-2
548.16,-2.1,-2.3,-2.4,-2.6
549.12,-2.2,-1.8,-2.4,-2.8
550.08,-2.2,-2.3,-2.5,-2.8
551.04,-2.3,-2.1,-2.6,-2.8
552,-1.7,-2.2,-2.4,-2.3
552.96,-2,-2.2,-2.4,-2.5
553.92,-2.2,-2.3,-2.8,-3
554.88,-2.7,-2,-2.3,-2.8
555.84,-2.3,-1.9,-2.3,-2.8
556.8,-1.9,-2.4,-2.1,-2.2
557.76,-2.4,-2.6,-2.6,-2.8
558.72,-2.5,-2.1,-2,-2.3
559.68,-1.8,-1.9,-1.9,-2.1
560.64,-1.9,-1.8,-1.7,-2.2
561.6,-2.7,-2.7,-2,-2.9
562.56,-2.1,-2.5,-2.2,-2.8
563.52,-2.2,-1.8,-1.9,-2.4
564.48,-1.9,-1.8,-2,-2.3
565.44,-2.3,-1.9,-1.6,-2.2
566.4,-2.3,-2.3,-2.1,-2.6
567.36,-2.3,-2,-1.7,-2.3
568.32,-2.4,-1.9,-2.4,-2.5
569.28,-2.3,-2,-2.5,-2.7
570.24,-2.5,-2.4,-3.2,-3
