"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
308.16,-1.4,-1.5,-1.7,-1.8
309.12,-1.4,-2.2,-2.1,-2.3
310.08,-2,-2.3,-2.2,-2.5
311.04,-1.7,-2.5,-2.1,-2.1
312,-1.4,-2.1,-2.1,-2.2
312.96,-1.4,-2.2,-2.1,-2.1
313.92,-1.8,-2,-1.8,-2.1
314.88,-1.6,-1.9,-1.9,-2.2
315.84,-1.9,-2.5,-2.3,-2.5
316.8,-1.7,-2.3,-2.2,-2.1
317.76,-1.3,-2,-1.7,-1.7
318.72,-1.5,-2.2,-1.6,-1.8
319.68,-1.3,-2,-1.8,-1.7
320.64,-1.8,-2.6,-2.2,-2.6
321.6,-1.6,-1.9,-1.8,-1.8
322.56,-1.6,-1.9,-1.9,-2.1
323.52,-1.6,-1.9,-2,-2.1
324.48,-1.6,-2.3,-2.1,-2
325.44,-1.3,-1.8,-1.7,-1.7
326.4,-1.5,-2,-1.7,-1.7
327.36,-1.5,-1.9,-1.9,-1.8
328.32,-1.4,-2,-2,-1.9
329.28,-1.9,-2.3,-2.2,-2.3
330.24,-1.8,-2.2,-2.1,-2
331.2,-1.9,-2,-1.9,-2.1
332.16,-1.6,-1.8,-1.7,-1.8
333.12,-1.7,-2.1,-1.9,-2
334.08,-1.8,-2,-1.9,-2
335.04,-1.8,-2.4,-2.3,-2.3
336,-1.8,-2.1,-2.2,-2.1
336.96,-1.9,-2.5,-2.5,-2.4
337.92,-2.1,-2.1,-2.3,-2.1
338.88,-2.4,-2.4,-2.4,-2.8
339.84,-1.8,-2.3,-2.2,-2.1
340.8,-1.7,-1.8,-1.7,-2
341.76,-1.8,-2.6,-2.5,-2.6
342.72,-2,-2.3,-2.6,-2.6
343.68,-1.4,-2,-1.9,-1.8
344.64,-1.4,-1.9,-2,-1.9
345.6,-1.5,-1.9,-1.7,-1.8
346.56,-1.8,-2.3,-2,-1.9
347.52,-1.6,-2.2,-2.1,-2.1
348.48,-1.5,-2.4,-2.5,-2.5
349.44,-1.4,-1.7,-1.7,-1.8
350.4,-1.9,-2.1,-2.2,-2.1
351.36,-1.4,-1.9,-2.5,-2.3
352.32,-1.6,-2,-2,-1.8
353.28,-1.5,-1.8,-2,-2.1
354.24,-1.9,-2.3,-2.5,-2.3
355.2,-1.9,-1.9,-2,-2.3
356.16,-1.7,-2,-1.7,-2
357.12,-1.7,-2.4,-2.4,-2.2
358.08,-1.6,-2.1,-2.1,-1.8
359.04,-1.4,-2.1,-2.2,-2
360,-1.2,-1.6,-1.7,-1.5
360.96,-1.4,-2.1,-2.1,-2.3
361.92,-1.8,-2.3,-1.8,-2
362.88,-1.5,-1.7,-1.9,-1.6
363.84,-1,-1.8,-1.8,-1.8
364.8,-1.2,-2.3,-2.5,-2.2
365.76,-1.5,-1.9,-2,-1.9
366.72,-1.3,-2,-2.1,-1.9
367.68,-1.4,-2,-2.1,-1.7
368.64,-1.7,-2.2,-2.4,-2
369.6,-1.2,-1.9,-2.1,-1.8
370.56,-1.8,-1.6,-1.8,-2
371.52,-1.7,-1.8,-1.8,-1.9
372.48,-1.9,-1.9,-2.2,-2.4
373.44,-1.6,-2.3,-2.5,-2.3
374.4,-1.6,-2.2,-2,-2.1
375.36,-2.1,-2.3,-2.6,-2.9
376.32,-1.6,-2,-2,-2.1
377.28,-1.7,-2,-2.2,-2.5
378.24,-1.6,-2.1,-2.1,-2.1
379.2,-1.5,-2.5,-2.1,-2
380.16,-1.9,-2.1,-2.1,-2.1
381.12,-1.6,-2.5,-2.3,-2.4
382.08,-1.4,-2.4,-2.3,-2.1
383.04,-1.6,-2,-1.9,-1.9
384,-1.9,-2.1,-2.2,-2.2
384.96,-1.7,-2.6,-2.4,-2.2
385.92,-2,-2.3,-2.2,-2.3
386.88,-1.6,-1.6,-1.6,-1.7
387.84,-1.5,-2.2,-2.1,-2.1
388.8,-1.5,-1.9,-2.1,-1.9
389.76,-1.6,-1.7,-1.8,-1.9
390.72,-1.7,-2.4,-2.3,-2.6
391.68,-2.2,-2.2,-2.5,-2.6
392.64,-1.9,-2.7,-2.5,-2.7
393.6,-2,-2.1,-2.6,-2.7
394.56,-2.1,-2.4,-2.6,-2.5
395.52,-1.6,-1.8,-1.9,-1.8
396.48,-1.9,-2.3,-2.2,-2.1
397.44,-2.1,-2,-2.3,-2.2
398.4,-2.1,-2.7,-2.7,-2.5
399.36,-1.5,-1.9,-1.9,-2.3
400.32,-1.5,-2.1,-1.8,-1.9
401.28,-1.6,-1.9,-1.8,-1.9
402.24,-2.2,-2.8,-2.3,-2.5
403.2,-2.1,-2.6,-2.2,-2.5
404.16,-2,-2.6,-2.6,-2.4
405.12,-1.8,-2.2,-1.8,-1.9
406.08,-1.8,-2.1,-2,-2.3
407.04,-1.3,-2.1,-2.2,-1.8
408,-1.3,-1.8,-2,-1.7
408.96,-1.4,-1.9,-1.9,-1.7
409.92,-1.2,-1.4,-1.6,-1.6
410.88,-2.1,-2.8,-2.6,-3
411.84,-1.2,-1.6,-2,-1.7
412.8,-1.7,-2.2,-1.9,-1.7
413.76,-1.9,-2.3,-2.4,-2
414.72,-1.5,-1.9,-2.1,-1.5
415.68,-1.3,-1.7,-1.8,-1.6
416.64,-1.9,-2.6,-2.4,-2.6
417.6,-1.4,-2.4,-2.9,-2.1
418.56,-1.2,-1.9,-2.1,-1.9
419.52,-1.8,-2.2,-2.3,-1.9
420.48,-1.5,-2,-1.8,-2.1
421.44,-1.8,-2.2,-2.1,-2.1
422.4,-1.9,-2.4,-2.5,-2.5
423.36,-2.1,-2.8,-2.5,-3
424.32,-1.8,-2.3,-2.1,-2.4
425.28,-2.4,-2.4,-2.7,-3.1
426.24,-1.4,-1.7,-1.8,-1.9
427.2,-2,-2.5,-2.3,-2.8
428.16,-1.9,-2.1,-2.6,-2.3
429.12,-2.2,-2.3,-2.3,-2.6
430.08,-1.8,-2.7,-2.4,-2.6
431.04,-1.7,-2.1,-2.2,-2.2
432,-1.6,-2.3,-2,-2.1
432.96,-1.8,-1.9,-2,-2
433.92,-1.9,-2.7,-2.4,-2.5
434.88,-1.9,-2.3,-2.7,-2.6
435.84,-2.2,-2.5,-2.5,-2.6
436.8,-1.8,-2.2,-2.1,-2.2
437.76,-1.9,-1.7,-2.4,-2.4
438.72,-1.9,-2.5,-2.4,-2.7
439.68,-1.7,-1.9,-2,-2.5
440.64,-2.1,-2.5,-2.4,-2.7
441.6,-1.6,-2.1,-2.1,-2.1
442.56,-1.8,-2.3,-2,-2
443.52,-1.7,-2.6,-2.2,-2.2
444.48,-1.7,-2.3,-2,-2.1
445.44,-1.8,-2.5,-2.6,-2.5
446.4,-1.7,-2.1,-2,-2
447.36,-2,-2.1,-2.2,-2.6
448.32,-1.9,-2.5,-2.2,-2.5
449.28,-2.6,-2.6,-2.8,-3.1
450.24,-2.3,-2.3,-2.5,-2.4
451.2,-2.4,-2.5,-2.3,-2.8
452.16,-1.8,-2.6,-2.7,-2.7
453.12,-1.7,-2.7,-2.6,-2.5
454.08,-1.5,-1.9,-1.9,-1.8
455.04,-1.7,-2.2,-2.1,-2.2
456,-1.6,-2.3,-2.3,-2.3
456.96,-1.6,-1.9,-1.9,-1.8
457.92,-1.8,-2.6,-2.4,-2.4
458.88,-1.7,-2,-2,-2
459.84,-1.4,-2.1,-2.2,-2.3
