"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
351.36,-2.1,-2.4,-2.4,-2.9
352.32,-2,-1.7,-1.5,-2.3
353.28,-2.2,-2.4,-2.6,-3.2
354.24,-1.8,-1.9,-2.2,-2.5
355.2,-2,-2.1,-2.1,-2.6
356.16,-2.6,-2.9,-2.8,-3.5
357.12,-2.2,-2,-2,-2.7
358.08,-1.9,-1.7,-1.6,-2
359.04,-2,-2.5,-2.3,-2.8
360,-2.1,-2,-2,-2.6
360.96,-2.1,-2.2,-2,-2.5
361.92,-2.2,-2.1,-2.2,-2.8
362.88,-2,-1.9,-2.1,-2.6
363.84,-1.7,-1.7,-1.7,-2
364.8,-2.2,-2.2,-2.1,-2.6
365.76,-2,-2,-2.9,-3
366.72,-1.9,-2,-1.8,-2.6
367.68,-2,-2,-2,-2.5
368.64,-2.3,-2.2,-2.2,-2.7
369.6,-1.6,-2,-2.2,-2.5
370.56,-2.1,-2.2,-2.2,-2.9
371.52,-2.2,-2.4,-2.7,-3
372.48,-2.3,-2.4,-2.4,-3
373.44,-2,-2,-2.1,-2.7
374.4,-1.9,-1.8,-1.8,-2.5
375.36,-1.7,-2.3,-2,-2.3
376.32,-1.7,-1.7,-2,-2.4
377.28,-2,-1.9,-2,-2.6
378.24,-1.8,-1.6,-1.4,-2.1
379.2,-2.3,-2.2,-2.1,-2.6
380.16,-2.5,-2.6,-2.7,-3
381.12,-1.9,-2.4,-2.7,-3
382.08,-1.9,-2.1,-2.5,-2.8
383.04,-2.3,-2.4,-2.4,-2.5
384,-2.1,-2.5,-2,-2.6
384.96,-2.6,-2.4,-2.4,-3
385.92,-2.1,-2.2,-2.5,-3.2
386.88,-1.8,-2,-2.2,-2.6
387.84,-2.1,-2.1,-2.5,-2.9
388.8,-2.6,-2.5,-2.7,-2.9
389.76,-2.3,-2.6,-3.2,-3.7
390.72,-2.5,-2.6,-2.8,-3.6
391.68,-2.1,-2.6,-2.7,-3.3
392.64,-1.6,-1.6,-1.9,-2.1
393.6,-2.1,-1.7,-1.9,-2.6
394.56,-2.5,-2.8,-2.9,-3.1
395.52,-2.3,-2.6,-2.7,-3
396.48,-2.6,-2.8,-3,-3.8
397.44,-2.6,-2.7,-2.9,-3.6
398.4,-2.8,-2.6,-2.9,-3.7
399.36,-2.2,-2.3,-2.8,-3
400.32,-2.1,-2.2,-2.1,-2.8
401.28,-2,-2.8,-2.8,-3.2
402.24,-2.1,-2,-2.5,-2.6
403.2,-2.4,-2.3,-2.3,-2.7
404.16,-2,-1.9,-1.8,-2.4
405.12,-2.4,-2.6,-2.7,-3
406.08,-2.2,-2.2,-2.4,-2.9
407.04,-2.1,-2.4,-2.8,-3.3
408,-2.3,-2.3,-2.1,-2.5
408.96,-1.9,-2,-2.1,-2.5
409.92,-2,-2.2,-2.3,-2.6
410.88,-1.7,-2,-2,-2.5
411.84,-1.5,-1.9,-1.7,-2
412.8,-1.7,-1.5,-1.4,-2.1
413.76,-1.4,-1.4,-1.6,-2
414.72,-1.8,-1.8,-1.7,-2.2
415.68,-1.8,-1.9,-1.9,-2.5
416.64,-2,-1.9,-1.8,-2.7
417.6,-2,-2.1,-2.7,-3.1
418.56,-1.9,-1.8,-2.1,-2.6
419.52,-2.4,-2.2,-2.6,-3.1
420.48,-2.1,-2.1,-2.4,-2.7
421.44,-1.9,-1.9,-1.9,-2.4
422.4,-2.1,-1.9,-2,-2.2
423.36,-2.2,-1.9,-1.9,-2.5
424.32,-2.8,-2.2,-2.6,-2.9
425.28,-2.6,-2.5,-2.9,-3.3
426.24,-2.6,-2.2,-2.6,-3.4
427.2,-2.4,-2.4,-2.7,-3.1
428.16,-2.4,-2.2,-2.2,-3.1
429.12,-2.3,-2.2,-2,-2.8
430.08,-2.4,-2.3,-2.2,-2.7
431.04,-2,-2.1,-2.3,-2.5
432,-2.3,-2,-2.2,-2.6
432.96,-2.3,-2,-2.3,-2.7
433.92,-2.5,-2.6,-2.8,-3.3
434.88,-2.3,-2.4,-2.8,-3
435.84,-2.3,-2.3,-2.8,-3.2
436.8,-2.4,-2,-2.3,-3
437.76,-1.9,-2,-2.5,-2.8
438.72,-2.2,-2.6,-3.1,-3.1
439.68,-2,-1.9,-2.7,-3
440.64,-2,-2,-1.9,-2.5
441.6,-2.2,-2.4,-2.7,-3.1
442.56,-2.1,-2,-2.1,-2.8
443.52,-2.4,-2.8,-2.8,-3.2
444.48,-2.4,-2.3,-2.5,-3.1
445.44,-2.1,-2.1,-2.3,-2.7
446.4,-2.5,-2.2,-2.8,-3.3
447.36,-2,-2.2,-2.4,-2.8
448.32,-2.6,-2.8,-3,-3
449.28,-2.1,-2.3,-2.2,-2.7
450.24,-2.3,-2.2,-2.3,-3
451.2,-2.3,-2.2,-2.1,-2.9
452.16,-2.2,-2.3,-2.3,-2.6
453.12,-2.1,-2.2,-2.5,-3.1
454.08,-2.1,-2.1,-2.8,-3
455.04,-2.5,-2.7,-2.9,-2.9
456,-2,-2.2,-2.2,-2.7
456.96,-2.1,-2.4,-2.5,-2.7
457.92,-2.1,-2.5,-2.8,-2.9
458.88,-2.1,-2.5,-2.3,-2.7
459.84,-2.1,-2.1,-2.1,-2.7
460.8,-2.2,-2.5,-2.5,-3.2
461.76,-2.3,-2.3,-2.2,-2.8
462.72,-2.3,-2.3,-2.5,-2.7
463.68,-2.2,-2.4,-2.3,-2.9
464.64,-2,-1.8,-1.8,-2.5
465.6,-2.2,-2.2,-2.4,-3
466.56,-1.9,-1.8,-1.8,-2.4
467.52,-2.3,-2,-2.4,-2.7
468.48,-2,-1.9,-2.4,-3
