"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
296.64,-2,-2.4,-2.4,-2.2
297.6,-2.9,-3.1,-3,-2.9
298.56,-2,-2.2,-2.3,-2.5
299.52,-1.6,-2.2,-1.9,-2.1
300.48,-1.5,-2,-1.7,-1.9
301.44,-2,-1.9,-2,-1.9
302.4,-1.8,-2,-2.2,-2
303.36,-2.5,-2.5,-2.5,-2.5
304.32,-2.4,-2.5,-2.9,-2.5
305.28,-2.1,-2.1,-2.1,-2.2
306.24,-1.7,-2,-1.9,-2.2
307.2,-2,-2.4,-2.5,-2.5
308.16,-2.3,-2.3,-2.6,-2.9
309.12,-2.6,-2.6,-3,-3
310.08,-2.4,-2.8,-3.2,-3.2
311.04,-2.4,-2.3,-2.4,-2.3
312,-2.2,-2.3,-2.5,-2.6
312.96,-2.4,-2.5,-2.8,-2.9
313.92,-1.9,-2.4,-2.3,-2.3
314.88,-2.2,-2.3,-2.6,-2.6
315.84,-2,-1.8,-2.1,-2.3
316.8,-2.6,-2.1,-2.6,-2.7
317.76,-2.2,-2.1,-2.3,-2.3
318.72,-2.2,-2.5,-3,-2.8
319.68,-2.2,-2.1,-2.5,-2.6
320.64,-2,-2.1,-2,-2.4
321.6,-1.8,-1.9,-2.1,-2.2
322.56,-2.5,-2.4,-2.5,-2.9
323.52,-2.2,-2.1,-2.1,-2.5
324.48,-2.5,-2.1,-2.3,-2.4
325.44,-1.7,-1.8,-2.2,-2.3
326.4,-1.8,-1.9,-2.1,-2.2
327.36,-1.8,-2.2,-2.2,-2.2
328.32,-2.7,-2.6,-2.8,-2.8
329.28,-2.4,-2.8,-3.1,-3.2
330.24,-2.1,-2.2,-2.5,-2.5
331.2,-2.3,-2.3,-2.5,-2.5
332.16,-2.4,-2.4,-2.6,-2.9
333.12,-1.9,-2.3,-2.5,-2.7
334.08,-2,-2.2,-2.2,-2.4
335.04,-2.1,-2.1,-2.1,-2.3
336,-2.1,-2.6,-2.6,-2.8
336.96,-2.2,-2.6,-2.8,-2.7
337.92,-2,-2,-2.2,-2.2
338.88,-1.8,-2.1,-2.2,-2.4
339.84,-2.1,-2,-2.2,-2.4
340.8,-2.3,-2.7,-2.5,-2.7
341.76,-2,-2.3,-1.9,-2.2
342.72,-2,-2.3,-2.1,-2.3
343.68,-1.5,-1.7,-1.4,-1.8
344.64,-1.9,-2.4,-2.2,-2.4
345.6,-1.6,-2,-2,-2.1
346.56,-1.8,-2.1,-2.1,-2.1
347.52,-2,-2.4,-2.6,-2.5
348.48,-1.9,-1.8,-1.4,-2.2
349.44,-2.1,-2.1,-2.5,-2.3
350.4,-1.5,-1.9,-1.5,-1.9
351.36,-2.1,-2.1,-2,-2.3
352.32,-1.8,-2.2,-1.9,-2.2
353.28,-1.8,-1.9,-1.7,-2
354.24,-1.7,-2,-2.3,-2.4
355.2,-2.8,-2.6,-2.7,-2.5
356.16,-2.1,-2.5,-2.6,-2.4
357.12,-2.4,-2.5,-2.5,-2.4
358.08,-1.7,-1.8,-1.6,-2.1
359.04,-2.2,-2.3,-2.1,-2.4
360,-2.2,-2.8,-2.6,-2.6
360.96,-1.9,-2.1,-2.2,-2.4
361.92,-2.3,-2.7,-2.4,-2.4
362.88,-1.6,-2,-1.8,-2.2
363.84,-2,-2.5,-2.5,-2.4
364.8,-2.8,-2.5,-2.8,-2.7
365.76,-2,-2.1,-1.7,-2.3
366.72,-1.6,-2,-2.1,-2.3
367.68,-1.6,-1.9,-1.8,-2.1
368.64,-1.5,-2.1,-1.9,-2.3
369.6,-1.9,-2.3,-2.3,-2.5
370.56,-2.1,-2.3,-2,-2
371.52,-2.4,-2.7,-2.2,-2.3
372.48,-2,-2.3,-2,-2.3
373.44,-2,-2.2,-2,-2.1
374.4,-2.4,-2.5,-2.6,-2.5
375.36,-1.5,-2.1,-2.1,-2.1
376.32,-2.2,-2.5,-2.4,-2.7
377.28,-2.2,-2.4,-2.6,-2.7
378.24,-2.3,-2.5,-2.9,-2.8
379.2,-2,-2,-2.1,-2.1
380.16,-2.5,-2.7,-2.6,-2.8
381.12,-2.1,-2.8,-2.7,-2.5
382.08,-1.7,-1.9,-1.7,-1.9
383.04,-1.7,-2.4,-1.9,-2
384,-1.9,-2.3,-2,-2.2
384.96,-1.7,-2.2,-2.1,-2.1
385.92,-1.8,-2,-1.7,-2.1
386.88,-2.3,-2.8,-2.8,-2.8
387.84,-1.9,-2.1,-2.6,-2.4
388.8,-1.8,-2.1,-2.4,-2.3
389.76,-1.9,-2.5,-2.3,-2.3
390.72,-2.5,-2.5,-2.6,-2.4
391.68,-2,-2.2,-2.5,-2.4
392.64,-2.1,-2.2,-2,-2.4
393.6,-2,-2.4,-2.4,-2.4
394.56,-2.2,-2.5,-2.3,-2.4
395.52,-2.2,-2.5,-2.5,-2.7
396.48,-1.7,-1.7,-1.6,-1.9
397.44,-2.5,-2.5,-2.8,-2.6
398.4,-2.1,-2.4,-2.7,-2.3
399.36,-2,-2.2,-2.5,-2.5
400.32,-2.2,-2.8,-3,-2.7
401.28,-2.1,-2.4,-2.6,-2.7
402.24,-2.6,-2,-2.6,-2.5
403.2,-1.8,-2.1,-2.5,-2.4
404.16,-1.7,-1.9,-1.8,-2
405.12,-2,-2,-2.3,-2.2
406.08,-2,-2.1,-2.3,-2.2
407.04,-2.3,-2.3,-2.4,-2.5
408,-2,-2,-1.6,-2
408.96,-2.3,-2.2,-1.9,-2.2
409.92,-2.4,-2.4,-3.1,-2.7
410.88,-2.2,-2.6,-3.2,-3
411.84,-2.1,-2.2,-2.8,-2.4
412.8,-1.8,-2,-1.7,-1.9
413.76,-2.3,-2.3,-2.6,-2.7
414.72,-2.4,-2.8,-2.9,-2.8
415.68,-2.2,-2.5,-2.6,-2.5
416.64,-2.3,-2.4,-2.3,-2.4
417.6,-2.3,-2.2,-2.3,-2.4
418.56,-2.4,-2.3,-2.6,-2.3
419.52,-2,-2,-2.2,-2.2
420.48,-2,-2.1,-2.5,-2.3
421.44,-2.8,-3,-2.9,-2.7
422.4,-2.5,-2.5,-2.8,-2.6
423.36,-2.9,-2.6,-2.9,-2.8
424.32,-2.1,-2.7,-2.7,-2.5
425.28,-2.1,-2.6,-2.9,-2.7
426.24,-2.8,-2.6,-3.1,-2.9
427.2,-2.2,-2.7,-2.7,-2.5
428.16,-2.2,-1.6,-1.8,-2.1
429.12,-2.4,-2.4,-2.6,-2.6
430.08,-2,-1.9,-1.5,-2.1
431.04,-2.1,-2.3,-2.3,-2.4
432,-2.6,-2.5,-2.7,-2.5
432.96,-2,-2,-2.6,-2.4
433.92,-2.5,-2.4,-2.4,-2.2
434.88,-2.2,-2.4,-2.2,-2.3
435.84,-1.8,-2.2,-1.7,-2.1
436.8,-2.1,-2.4,-2.4,-2.4
437.76,-1.5,-2,-1.9,-1.9
438.72,-1.9,-2.4,-2.1,-2.5
439.68,-2.1,-2.7,-2.3,-2.4
440.64,-1.7,-2.5,-2.5,-2.6
441.6,-1.9,-2.2,-2.1,-2.3
442.56,-1.9,-2.7,-2.4,-2.7
443.52,-2.2,-2.2,-2.2,-2.3
444.48,-1.9,-2.2,-2.2,-2.5
445.44,-2.1,-2.4,-2.5,-2.6
446.4,-2.2,-2,-1.7,-2.3
447.36,-1.8,-2.2,-2.2,-2.3
448.32,-2.3,-2.6,-2.8,-2.8
449.28,-1.7,-1.9,-1.8,-2
450.24,-2,-2.4,-2.2,-2.3
451.2,-1.9,-2,-2,-2.3
452.16,-1.7,-2.4,-2.6,-2.6
453.12,-1.8,-2.5,-2.5,-2.5
454.08,-1.8,-1.9,-1.8,-2
455.04,-1.6,-1.9,-1.8,-2
456,-2,-2.7,-3.1,-2.8
456.96,-2.4,-2.2,-2.5,-2.5
457.92,-2.6,-3.4,-3.4,-3.2
458.88,-2.1,-2.5,-2.1,-2.4
459.84,-2,-2.5,-2.9,-2.6
460.8,-2.2,-2.6,-3,-2.8
461.76,-2.1,-2.5,-3,-2.7
462.72,-2.2,-2.5,-2.7,-2.7
463.68,-2.1,-2.2,-2.5,-2.5
464.64,-1.7,-2,-1.9,-2.1
465.6,-2.3,-3.2,-3.1,-3.1
466.56,-2.3,-2.7,-2.8,-2.6
467.52,-1.9,-2.4,-2.2,-2.4
468.48,-2.5,-2.4,-2.8,-2.6
469.44,-2.9,-2.5,-2.6,-3
470.4,-2.2,-2.3,-2.7,-2.5
471.36,-2.6,-2.7,-2.9,-2.6
472.32,-2.8,-2.3,-2.8,-2.5
473.28,-2.3,-2.2,-2.6,-2.4
474.24,-2.2,-2.5,-2.6,-2.2
475.2,-2.7,-2.3,-2.5,-2.5
476.16,-2.2,-2,-2.2,-2.3
477.12,-2.6,-2.5,-2.5,-2.5
478.08,-2.8,-2.8,-3,-2.9
479.04,-2.4,-2.7,-3,-2.7
480,-1.8,-2.1,-2.5,-2.3
480.96,-2.4,-2.4,-2.5,-2.6
481.92,-2,-2.5,-2.5,-2.5
482.88,-2.4,-2.4,-2.6,-2.7
483.84,-2.6,-2.5,-2.6,-2.5
484.8,-2.2,-2.7,-2.9,-2.6
485.76,-2.2,-2.5,-2.9,-2.8
486.72,-2.1,-2,-2.2,-2.4
487.68,-2.1,-2.4,-2.7,-2.8
488.64,-2.7,-2.3,-2.9,-2.9
489.6,-2.1,-2.3,-2.6,-2.7
490.56,-3,-2.7,-2.6,-2.7
491.52,-2.9,-2.2,-2.4,-2.9
492.48,-2.2,-2.3,-2.5,-2.4
493.44,-2.2,-3,-2.6,-2.3
494.4,-2.3,-2.5,-2.5,-2.4
495.36,-2.2,-2.6,-2.9,-2.7
496.32,-1.8,-2.2,-2.5,-2.3
497.28,-1.8,-1.9,-2.1,-2.3
498.24,-1.8,-2.3,-2.3,-2.4
499.2,-2.3,-2.9,-2.9,-2.9
500.16,-1.6,-2.3,-2.4,-2.4
501.12,-2.4,-2.3,-2.8,-2.6
502.08,-2,-2.1,-2.5,-2.2
503.04,-2.5,-2.7,-2.9,-2.7
504,-2.5,-2.3,-2.6,-2.6
504.96,-1.8,-2.1,-2.5,-2.4
505.92,-2.3,-2.4,-2.7,-2.5
506.88,-2.3,-2.3,-2.7,-2.8
507.84,-2,-2.3,-2.8,-2.5
508.8,-2,-2.5,-2.5,-2.4
509.76,-1.8,-2.2,-2.6,-2.5
510.72,-1.8,-2.5,-2.5,-2.5
511.68,-1.8,-2.3,-2.4,-2.2
512.64,-1.7,-2.3,-2.4,-2.2
513.6,-2.2,-2.6,-2.8,-2.7
514.56,-1.9,-2.8,-2.9,-2.6
515.52,-2.1,-2.4,-2.4,-2.4
516.48,-2.2,-2.4,-2.8,-2.7
517.44,-2.4,-2.2,-2.5,-2.5
518.4,-2.4,-2.5,-3,-2.6
519.36,-2.1,-2.5,-3,-2.7
520.32,-1.9,-2.3,-2.5,-2.3
521.28,-1.8,-2.2,-2.3,-2.2
522.24,-2.1,-2.6,-2.8,-2.7
523.2,-2.1,-2.3,-2.7,-2.5
524.16,-2.3,-2.5,-2.7,-2.8
525.12,-2.6,-2.4,-2.7,-2.9
526.08,-2.3,-2.5,-2.6,-2.8
527.04,-2,-2.4,-2.8,-2.6
528,-1.9,-2.6,-2.4,-2.5
528.96,-2.4,-3,-3,-3
529.92,-2.4,-2.9,-3.2,-3
530.88,-2.1,-2.4,-2.8,-2.6
531.84,-1.9,-2,-2.2,-2.1
532.8,-1.8,-2.5,-2.4,-2.3
533.76,-2.1,-2.5,-3,-2.7
534.72,-1.5,-2.1,-2.2,-2
535.68,-1.6,-2.1,-2.4,-2.3
536.64,-2.3,-3,-3.2,-3
537.6,-2,-2.4,-2.5,-2.5
