"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
5797.44,-2.7,-3.3,-3.2,-3.1
5798.4,-2.4,-2.5,-2.6,-2.3
5799.36,-2.7,-3,-3,-3
5800.32,-2.5,-2.9,-2.6,-2.8
5801.28,-2.2,-2.3,-2.3,-2.4
5802.24,-2.2,-2.2,-2.7,-2.5
5803.2,-2.4,-2.4,-2.5,-2.8
5804.16,-2.7,-2.7,-2.9,-3
5805.12,-2.4,-2.4,-2.5,-2.7
5806.08,-2.1,-2,-2,-2.5
5807.04,-2.3,-2.3,-2.8,-2.4
5808,-2,-2.2,-2.3,-2.3
5808.96,-2,-2.6,-2.3,-2.3
5809.92,-2.4,-3,-2.9,-3
5810.88,-2.2,-2.6,-2.5,-2.5
5811.84,-3,-2.8,-3.1,-2.9
5812.8,-2.2,-2.7,-3.1,-3
5813.76,-2.3,-3,-2.8,-2.9
5814.72,-2.2,-2.5,-2.5,-2.7
5815.68,-2.3,-2.5,-2.4,-2.7
5816.64,-2,-2.4,-2.6,-2.8
5817.6,-1.8,-2.4,-2.5,-2.4
5818.56,-2,-2.3,-2.4,-2.4
5819.52,-2.1,-2.3,-2.8,-3
5820.48,-2.2,-2.2,-2.5,-2.7
5821.44,-2.7,-3.1,-3.2,-3.2
5822.4,-2.4,-2.4,-2.6,-2.6
5823.36,-2.7,-2.9,-3.1,-3.3
5824.32,-3.3,-3.2,-3.4,-3.5
5825.28,-2.5,-2.9,-3.1,-3
5826.24,-3,-3.5,-3.2,-3.6
5827.2,-3.1,-3.4,-3.5,-3.4
5828.16,-2.8,-2.8,-2.7,-2.9
5829.12,-2.3,-3,-2.9,-3.1
5830.08,-2.6,-3,-2.5,-2.9
5831.04,-2,-2.2,-2.4,-2.5
5832,-2.7,-2.7,-2.5,-2.8
5832.96,-2.2,-2.5,-2.3,-2.6
5833.92,-2.4,-2.5,-2.5,-2.6
5834.88,-1.9,-2.4,-2.5,-2.6
5835.84,-2.2,-2.6,-2.4,-2.7
5836.8,-1.8,-2.2,-2.2,-2.4
5837.76,-2,-2.4,-2.5,-2.8
5838.72,-1.9,-2.2,-2.3,-2.7
5839.68,-1.9,-2.5,-2.5,-2.9
5840.64,-2.3,-2.5,-2.5,-2.9
5841.6,-2,-2.3,-2.6,-2.7
5842.56,-2.1,-2.2,-2.4,-2.5
5843.52,-2,-2.3,-2.7,-2.9
5844.48,-1.5,-2,-2,-1.9
5845.44,-1.5,-2.1,-2,-2.1
5846.4,-1.8,-1.8,-2.2,-2.3
5847.36,-2.1,-3,-2.6,-3.1
5848.32,-1.7,-1.9,-2.2,-2.3
5849.28,-2.4,-2.5,-2.4,-2.4
5850.24,-2,-2.2,-2.6,-2.6
5851.2,-2,-2.3,-2.5,-2.5
5852.16,-2.4,-2.8,-2.9,-2.9
5853.12,-2,-2.3,-2.4,-2.6
5854.08,-2.2,-2.5,-3,-2.9
5855.04,-2.3,-3,-2.9,-3
5856,-2.1,-2.1,-2.3,-2.7
5856.96,-2.2,-2.8,-3,-3.1
5857.92,-2.5,-2.7,-3,-3.2
5858.88,-2.1,-2.5,-2.9,-3
5859.84,-2.1,-2.8,-2.6,-3
5860.8,-2.3,-2.6,-2.8,-2.9
5861.76,-2.4,-2.8,-3,-3
5862.72,-2.1,-2.6,-2.6,-2.8
5863.68,-1.8,-2.1,-2.4,-2.7
5864.64,-2,-2.3,-2.8,-2.7
5865.6,-2,-2.8,-3,-3
5866.56,-2.3,-2.6,-3.2,-3.4
5867.52,-2.1,-2.5,-3,-3
5868.48,-2.3,-3.1,-3.3,-3.1
5869.44,-2.4,-2.7,-3.1,-3.2
5870.4,-2.1,-3,-3,-2.9
5871.36,-2.5,-2.8,-3.2,-2.9
5872.32,-2.8,-3.5,-3.3,-3.2
5873.28,-2.1,-2.9,-3,-2.9
5874.24,-2.4,-2.9,-3.1,-3.2
5875.2,-2.1,-2.3,-2.4,-2.5
5876.16,-2.2,-2.8,-3.1,-3.1
5877.12,-1.8,-2.5,-2,-2.3
5878.08,-2.2,-2.5,-2.6,-2.9
5879.04,-2.3,-2.9,-3,-3
5880,-2.8,-2.7,-3,-2.8
5880.96,-2.3,-2.3,-2.5,-2.5
5881.92,-2.1,-2.5,-2.6,-2.5
5882.88,-2.8,-2.9,-3.4,-3.2
5883.84,-2.3,-2.9,-3,-2.8
5884.8,-2.8,-3,-3.3,-2.9
5885.76,-2.1,-2.6,-2.7,-2.7
5886.72,-2.3,-2.3,-2.5,-2.3
5887.68,-2.5,-2.9,-2.9,-2.8
5888.64,-2.8,-2.7,-2.9,-2.6
5889.6,-2.4,-2.6,-2.7,-2.5
5890.56,-2.2,-2.4,-2.5,-2.4
5891.52,-3,-3.5,-3.5,-3.1
5892.48,-2.4,-2.9,-3.3,-2.8
5893.44,-2.4,-2.5,-2.7,-2.7
5894.4,-3,-2.9,-3.3,-2.6
5895.36,-2.5,-2.7,-2.8,-2.5
5896.32,-2.9,-3.2,-3.4,-3
5897.28,-2.5,-2.5,-2.8,-2.5
5898.24,-2.2,-2,-2.1,-2.4
5899.2,-2.5,-2.7,-2.8,-2.8
5900.16,-2.2,-2.6,-2.9,-2.6
5901.12,-2.2,-2.5,-2.6,-2.4
5902.08,-1.8,-2.3,-2.3,-2.4
5903.04,-2.4,-2.8,-2.8,-2.4
5904,-2.1,-2.5,-2.7,-2.5
5904.96,-2.5,-2.8,-3,-2.7
5905.92,-2.7,-2.9,-3.3,-2.8
5906.88,-2.2,-2.8,-2.8,-2.7
5907.84,-2.9,-2.9,-3,-2.8
5908.8,-2.2,-2.3,-2.7,-2.4
5909.76,-2.2,-2.8,-2.9,-2.6
5910.72,-2.2,-2.4,-2.8,-2.5
5911.68,-2.7,-2.7,-3.1,-2.5
5912.64,-3,-3.3,-3.3,-3.1
5913.6,-2.4,-2.5,-2.7,-2.7
5914.56,-2.7,-2.9,-3.1,-2.8
5915.52,-2.1,-2.5,-2.5,-2.4
5916.48,-1.9,-2.3,-2.5,-2.4
5917.44,-2.7,-2.8,-3,-2.5
5918.4,-2.9,-2.8,-2.8,-2.6
5919.36,-2.4,-2.5,-2.8,-2.7
5920.32,-2.5,-2.4,-2.7,-2.4
5921.28,-2.3,-2.8,-2.9,-2.6
5922.24,-2.4,-2.4,-2.7,-2.5
5923.2,-2.5,-2.6,-2.9,-2.6
5924.16,-2.6,-2.5,-3,-2.7
5925.12,-2.5,-2.5,-2.8,-2.5
5926.08,-2.4,-2.6,-2.8,-2.6
5927.04,-2.5,-2.7,-3,-2.7
5928,-2.5,-2.3,-2.7,-2.4
5928.96,-2.1,-2.5,-2.5,-2.4
5929.92,-2.5,-2.5,-2.7,-2.4
5930.88,-2.6,-2.7,-3,-2.6
5931.84,-2.9,-2.9,-3.2,-2.7
5932.8,-2.9,-3.4,-3.7,-3.2
5933.76,-2.2,-2.6,-2.9,-2.6
5934.72,-2.5,-2.5,-2.5,-2.5
5935.68,-2.2,-2.5,-2.6,-2.4
5936.64,-2.8,-3,-3.5,-3
